Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection,,,,,,,,,,,
4,44,20,177698.3339,2500798.309,0.019,176.741,267.55,,,,,,,,,,,
4,44,20.2,177698.334,2500798.309,0.009,0,267.356,,,,,,,,,,,
4,44,20.4,177698.334,2500798.31,0.006,0,267.415,,,,,,,,,,,
4,44,20.6,177698.334,2500798.31,0.024,231.542,267.473,,,,,,,,,,,
4,44,20.8,177698.3341,2500798.31,0.011,269.044,267.236,,,,,,,,,,,
4,44,21,177698.3341,2500798.31,0.011,285.141,267.401,,,,,,,,,,,
4,44,21.2,177698.3341,2500798.31,0.026,314.66,267.438,,,,,,,,,,,
4,44,21.4,177698.3342,2500798.31,0.019,329.481,267.102,,,,,,,,,,,
4,44,21.6,177698.3342,2500798.31,0.03,351.801,267.024,,,,,,,,,,,
4,44,21.8,177698.3342,2500798.31,0.017,332.451,267.072,,,,,,,,,,,
4,44,22,177698.3342,2500798.311,0.014,348.782,267.176,,,,,,,,,,,
4,44,22.2,177698.3342,2500798.311,0.018,345.904,267.136,,,,,,,,,,,
4,44,22.4,177698.3343,2500798.311,0.021,321.296,267.049,,,,,,,,,,,
4,44,22.6,177698.3343,2500798.311,0.009,0,267.129,,,,,,,,,,,
4,44,22.8,177698.3343,2500798.311,0.015,305.721,267.149,,,,,,,,,,,
4,44,23,177698.3343,2500798.311,0.006,0,266.836,,,,,,,,,,,
4,44,23.2,177698.3343,2500798.311,0.009,0,266.879,,,,,,,,,,,
4,44,23.4,177698.3344,2500798.311,0.01,184.962,266.908,,,,,,,,,,,
4,44,23.6,177698.3344,2500798.312,0.023,185.816,266.792,,,,,,,,,,,
4,44,23.8,177698.3344,2500798.312,0.034,185.384,266.562,,,,,,,,,,,
4,44,24,177698.3344,2500798.312,0.031,229.395,266.794,,,,,,,,,,,
4,44,24.2,177698.3344,2500798.312,0.014,220.699,266.725,,,,,,,,,,,
4,44,24.4,177698.3344,2500798.312,0.024,237.734,266.616,,,,,,,,,,,
4,44,24.6,177698.3345,2500798.312,0.025,268.036,266.521,,,,,,,,,,,
4,44,24.8,177698.3345,2500798.312,0.017,277.569,266.436,,,,,,,,,,,
4,44,25,177698.3345,2500798.313,0.02,310.592,266.542,,,,,,,,,,,
4,44,25.2,177698.3345,2500798.313,0.014,304.98,266.515,,,,,,,,,,,
4,44,25.4,177698.3345,2500798.313,0.005,0,266.627,,,,,,,,,,,
4,44,25.6,177698.3345,2500798.313,0.024,21.731,266.33,,,,,,,,,,,
4,44,25.8,177698.3345,2500798.313,0.019,53.631,266.303,,,,,,,,,,,
4,44,26,177698.3345,2500798.313,0.007,0,266.365,,,,,,,,,,,
4,44,26.2,177698.3345,2500798.313,0.012,7.621,266.049,,,,,,,,,,,
4,44,26.4,177698.3345,2500798.313,0.012,328.319,265.998,,,,,,,,,,,
4,44,26.6,177698.3345,2500798.314,0.009,0,266.246,,,,,,,,,,,
